繪圖紅樓夢卷一 ||| Họa đồ Hồng Lâu Mộng, quyển thứ nhất.
___游至此設如_隧落其中_便深負我從前諄諄警戒之語了話猶未了只_聽迷津内_響如雷_聲有許多夜叉海兒將寶王拖將下去嚇得寶玉 ||| Nếu chẳng may sa chân vào chốn ấy, thì thật là phụ lòng ta đã hết lời khuyên nhủ! Lời còn chưa dứt, bỗng nghe trong bến Mê vang lên tiếng động như sấm, vô số dạ xoa từ dưới biển nhô lên, định lôi Bảo Ngọc xuống, khiến chàng kinh hãi, mồ hôi tuôn như tắm, thất thanh kêu: "Khả Khanh, cứu ta!"
___汗下如雨一面失聲喊叫可卿救我嚇得襲人輩衆了_嬛忙上來摟住叫寶王_不怕我們在這_裏呢却說秦氏正在房外囑咐小了頭們好 ||| Mồ hôi Bảo Ngọc tuôn như mưa, thất thanh kêu cứu: "Khả Khanh, cứu ta!". Tập Nhân cùng các a hoàn vội chạy đến ôm lấy, an ủi: "Cậu Bảo đừng sợ, có chúng tôi ở đây rồi". Tần thị đang ở ngoài phòng dặn dò a hoàn nhỏ, nghe tiếng Bảo Ngọc gọi tên mình trong cơn mê, trong lòng không khỏi bồn chồn: "Ở đây chẳng ai biết tên ta, sao trong mộng Bảo Ngọc lại gọi ra được?"
第六囘賈寶玉初試_雲雨情劉老老一進榮國府 ||| Hồi thứ sáu, Giả Bảo Ngọc lần đầu nếm trải mây mưa, Lưu lão lão một bước chân vào phủ Vinh Quốc.
_____________寶玉大兩歲近_年也漸_省人事今見寶玉如此光景心中便覺察了一半不覺_把個粉臉羞的飛紅____遂不_好再問仍舊理好衣裳隨至賈母 ||| Tập Nhân là người con gái thông minh, lại hơn Bảo Ngọc hai tuổi, gần đây cũng đã hiểu biết sự đời. Thấy Bảo Ngọc như vậy, trong lòng nàng liền hiểu ra một phần, không khỏi đỏ mặt, ngượng ngùng không dám hỏi thêm, vội vàng chỉnh lại y phục cho Bảo Ngọc rồi đưa đến chỗ Giả mẫu.
__瞅着他笑遲了一______會寶玉緗把夢中之事細說_與襲人__聽說到雲雨私情羞的襲人掩面伏身而笑寶玉亦素喜襲人柔媚姣俏遂強拉襲 ||| Bảo Ngọc ngắm nghía Tập Nhân cười một lúc, rồi đem chuyện trong giấc mộng kể lại tường tận cho nàng nghe. Khi kể đến đoạn mây mưa cùng tiên cô, Tập Nhân ngượng ngùng, che mặt cúi đầu cười khúc khích. Bảo Ngọc vốn yêu thích vẻ dịu dàng, xinh đẹp của Tập Nhân, liền nài nỉ nàng cùng mình diễn lại những điều tiên cô Cảnh Huyễn đã chỉ dạy trong mộng.
人同領警幻所訓之事襲人自知賈母曾將他給了寶玉也無可推托的扭掉了半日無奈何只得和寶玉温存了一番自此寶玉視襲人 ||| Người cũng như đã lĩnh hội lời dạy của Cảnh Huyễn tiên cô, lại biết Giả mẫu đã định mình cho Bảo Ngọc, nên đành thuận theo, cùng Bảo Ngọc ân ái một phen. Từ đó, Bảo Ngọc càng thêm yêu mến Tập Nhân.
_更自不同襲人待寶玉也越發盡職了這話暫且不提且說榮府中___合算起來_____從上至下也有三_百_____餘口人一天也有一二十件事竟如亂____________ ||| Lại nói, từ đó Tập Nhân càng hết lòng hầu hạ Bảo Ngọc, còn hơn trước. Trong phủ Vinh, tính ra trên dưới cũng có ba bốn trăm người, mỗi ngày có đến hai ba chục việc, rối như tơ vò.
麻一般沒個頭緒可作綱領正_思從那一件事_那一個人寫起方炒_却好忽從千里之外不豆之微小小一個人家_因與榮府略有些瓜萬______________________ ||| Nay nói đến phủ Vinh, người không đông lắm, tính trên dưới có tới ba bốn trăm, việc không nhiều lắm, một ngày xử độ vài mươi vụ, rối beng như mối tơ vò, không biết lần từ đâu. Vậy thì nên lấy việc gì, người nào làm đầu mối mà viết truyện được. Bỗng có một nhà tầm thường, nhỏ nhặt ở xa ngàn dặm, có bà con họ hàng với phủ Vinh, hôm nay đến phủ thăm hỏi, nên nhân tiện xin bắt đầu câu chuyện từ nhà ấy.
繪房红樓夢卷一第六回 ||| Họa phòng Hồng Lâu Mộng quyển một hồi thứ sáu.
二九 ||| Hai chín
繪圖紅樓夢卷一第六回 ||| Họa đồ Hồng Lâu Mộng, quyển một, hồi thứ sáu.
三〇 ||| Ba mươi
___這日正往榮府中來因此便就這一家說_起倒還是個頭結原來這小小之家姓王乃本地人氏__祖上__也做過___一個小小京官昔年_會與鳳_________ ||| Ngày nọ, có một gia đình tầm thường vốn có chút liên hệ xa với phủ Vinh, nhân dịp đến thăm hỏi, vậy nên ta hãy bắt đầu câu chuyện từ gia đình này. Gia đình này là ai, có quan hệ gì với phủ Vinh? Nguyên lai, gia đình ấy họ Vương, vốn là người bản địa, tổ tiên từng làm một chức quan nhỏ ở kinh thành, năm xưa có quen biết với ông của Vương Hy Phượng, tức là cha của Vương phu nhân.
姐之祖王夫人之父認識因貪王家的勢利便連了宗認作__姪兒那時只有王夫人之大兄鳳姐之父_與王夫人隨在京_的知有此一門__________遠 ||| Tổ mẫu của chị ta là Vương phu nhân, cha của Vương phu nhân vì ham cái thế nhà họ Vương nên đã nhận người này làm cháu. Lúc đó chỉ có cha của Phượng Thư, anh trai của Vương phu nhân và Vương phu nhân ở kinh thành biết chuyện này, còn không ai hay.
族餘者也皆不知目今其租_早故只有一個_兒子名喚王成因家業蕭條仍搬出城外_鄕村中住了王成亦相繼身故有子小名狗兒娶妻 ||| Những người còn lại trong dòng tộc đều không biết đến việc này, chỉ biết rằng ngày xưa nhà họ có một người con trai tên là Vương Thành. Vì gia cảnh sa sút, Vương Thành phải chuyển ra vùng thôn quê ở ngoại thành sinh sống. Sau đó Vương Thành cũng qua đời, để lại một người con trai nhỏ tên là Cẩu Nhi, lấy vợ.
劉氏生子小名板兒又生一女名喚靑兒一家四口_以務農爲業因狗兒白日間自作些生計劉氏又操井白等事青板姊弟兩個無人照 ||| Lưu thị sinh được một con trai nhỏ tên là Bản, lại sinh thêm một con gái tên là Thanh, cả nhà bốn người sống bằng nghề làm ruộng. Cẩu Nhi ban ngày phải đi kiếm việc làm thêm, Lưu thị thì lo việc giã gạo, gánh nước, hai chị em Thanh Bản không có ai trông nom.
管狗兒遂將岳母劉老老接來一處過活道劉老老乃是個__久經世代的老寡婦膝下又無__子息只靠兩畝薄田度日如今女壻接了養活 ||| Vậy là Cẩu Nhi liền đón mẹ vợ là bà Lưu đến ở cùng để trông nom nhà cửa. Bà Lưu vốn là một bà lão goá bụa đã lâu năm, lại không có con cái, chỉ sống nhờ vào mấy sào ruộng cằn. Nay được con rể mời đến ở, bà mừng rỡ nhận lời, hết lòng giúp đỡ con gái và con rể.
豈不願意呢遂一心一計幫着女兒女壻過活因這年秋盡冬初天_氣冷將上來家中冬事未辦狗_兒未免心中煩__躁喫了_幾杯悶酒在家___________ ||| Lẽ nào lại không bằng lòng, vì thế già tận tình giúp đỡ rể và con gái. Năm ấy cuối thu sang đông, trời sắp rét, trong nhà chưa có đồ mặc ấm, Cẩu Nhi không khỏi buồn bực, uống vài chén rượu, đâm ra bẳn gắt.
奥多大的飯呢你皆因年小_時候託着__老__子娘的福_國喝惯了如今所以____有了錢就顧頭不顧尾沒了錢就瞎生_氣成_了什_麽男子漢大丈__ ||| Ngươi còn trẻ tuổi, nhờ bố mẹ ăn mặc đầy đủ quen rồi, nên mới thấy thế đã khó chịu. Khi có tiền thì ngươi ăn tiêu bừa bãi, lúc hết tiền đâm ra cáu kỉnh, như thế sao gọi là tài trai, là đại trượng phu được?
__他發_點好心拔_根寒毛比_俗們的腰還_是呢劉氏__接口道你老_說的___好你我追樣_嘴驗怎_麽好到他門上去_只怕他那門上人也不肯進去 ||| Lão bà ấy nói có lý, chỉ cần họ có lòng tốt, nhổ một sợi lông măng cũng còn to hơn cái lưng của chúng ta.
告訴沒的_白打嘴現世的誰知狗_兒利名心_重_聽如此_說心下便有些活動__又聽他妻子這番話便笑道老老旣這麽說況且當日你又見 ||| Nghe bà già nói vậy, Cẩu Nhi vốn nặng lòng danh lợi, trong lòng đã rục rịch. Lại nghe vợ nói thêm, liền cười đáp.
過這姑太太一次爲什麽不你老人家明日就去走一遭先試試風頭兒去劉老老道噯喲可是說的了侯門似海我是個什麽東西呢他 ||| Sao cô không nhân dịp này đến thăm bà cô một chuyến, thử xem tình hình thế nào? Người ta thường nói: "Cửa nhà quan sâu như bể", ta là cái thá gì, lại không quen biết ai, thì đi cũng uổng công thôi.
_________________家人又不認得_我去了也是白____跑狗兒道不妨我敎給你____個法_兒你竟帶了___小板_兒先去找陪房周__大爺要見了他就有些意思了這周大 ||| Người nhà lại chẳng ai quen biết, ta đi cũng bằng không. Cẩu Nhi nói: "Không sao, ta sẽ bày cho bà một cách. Bà hãy dẫn thằng Bản đi, trước hết tìm đến bà Chu Thụy, người hầu hạ bà Vương khi mới về nhà chồng. Gặp được bà ấy, ta sẽ có phần chắc."
___爺先時_和我父親交過一_樁事我們本極好的劉__老老道我也知道只是許多時不走動知道他_如今是怎樣追也說不得了你又是個男 ||| Ngày trước, cha tôi có giúp ông ấy một việc, từ đấy hai bên đi lại rất tử tế với nhau. Già Lưu nói: - Tôi hiểu rồi.
___________人_道_麽個嘴_眼自然去不得我們姑娘年輕的媳婦_兒也難壹頭賣脚的倒還是捨着我這_副老臉去碰_碰果然有好處大家也有益當晚 ||| Thôi, để gái già này đành giơ mặt hứng lấy việc vậy. Nếu được may mắn thì cả nhà cũng có lợi đấy.
__計議已定次日天永明時劉__老老便起來梳洗了又將板_兒敎_了_幾句____話五六歲的孩子_____聽見___帶了他進城逛去_歡喜的無不應承於是劉 ||| Bàn tính đã xong, sáng hôm sau, trời vừa hửng sáng, bà Lưu liền thức dậy sửa soạn, dặn dò cháu Bản vài lời. Đứa bé lên năm lên sáu, nghe nói được đi chơi tỉnh thì mừng rỡ, chuyện gì cũng vâng theo.
老老楼了板兒進城至甯榮街來到了榮府大門前石獅子_旁邊只見__滿門口的轎馬劉老老不敢婚去___撣撞衣服又敎了板__兒幾句話然______ ||| Lão bà Lưu dắt theo thằng Bản vào thành, đến phố Ninh Vinh, trước phủ Vinh thấy sư tử đá, xe kiệu đầy đường. Lão bà dừng lại, phủi áo, dặn dò thằng bé vài câu rồi rón rén đến cửa hông.
後溜到角門前只見_幾個挺胸叠肚指手畫脚的人坐在大___門前說東談西_的劉老老只得蹭上來問大爺們纳福衆人打量丁一會便問 ||| Lui về phía cửa hông, chỉ thấy mấy người ưỡn ngực phanh bụng, khoa tay múa chân ngồi trước cửa lớn nói chuyện rôm rả, bà Lưu đành phải rón rén đến hỏi thăm, các vị đại gia đang hưởng phúc đấy ạ, mọi người nhìn bà một hồi rồi hỏi.
是那裏來的酒老老_陪笑道我找太太的陪房周大爺的煩那位太爺替我請他_出來那些人_聽了都不_理他半日方說道你遠遠的_那着_________________________________________________ ||| Lão bà cười nói: "Tôi đến tìm Chu gia, người hầu của Vương phu nhân, phiền các vị cho mời ra hộ". Mấy người kia nghe xong chẳng ai để ý, một lúc lâu sau mới đáp: "Bà hãy ra đằng kia mà chờ".
畸角兒等着一會子他們家裏就有人出來内中有個年老的說道何苦誤他的事呢因向劉老老道周大爷往南邊去了他在後一漫住 ||| Kẻ kia đứng chờ một hồi, bỗng có một người lớn tuổi lên tiếng: "Thôi đừng để người ta lỡ việc". Rồi quay sang hỏi bà lão: "Ông Chu đã đi về phía nam rồi, nhà ở phía sau, chỉ có vợ ông ta ở nhà thôi."
若他們奶奶兒倒在家呢你打這海繞到後街門上找就是下劉老老謝了遂領着板兒繞至後門上只見門上欲若些生意擔子也有賣 ||| Nếu họ hàng bà ở nhà, thì bà cứ đến đó mà tìm, còn không thì bà cứ đi vòng ra phía sau, ở đó có cửa sau, bà cứ đến đó mà tìm. Lưu mụ cảm tạ rồi dắt Bản nhi đi vòng ra cửa sau, thấy ở đó có nhiều gánh hàng rong bán đồ ăn thức uống.
與的也有賣頑耍的鬧吵吵三二十個孩子在那裏劉老老便拉着一個道我問哥兒一聲有個周大娘在家麽那孩子番眼瞅着道那個 ||| Lại thấy trước cửa có mấy gánh hàng rong bán đồ ăn, đồ chơi, cùng ba bốn chục đứa trẻ nô đùa ầm ĩ. Bà Lưu bèn kéo một đứa lại hỏi: "Này cậu bé, cho ta hỏi bà Chu có nhà không?"
周大娘我們這_裏周大娘有_幾個呢_______不知是那一倜行當兒上的劉老老道他是太太的陪房那孩子道這個容易你跟了我來引着劉老 ||| Bà Chu nào? Ở đây có đến ba bà Chu kia. Còn hai bà Chu nữa. Không biết bà Chu nào? - Bà ấy là người theo hầu Vương phu nhân. - Thế thì dễ thôi. Bà cứ đi theo tôi.
________________________________老推了___後院到一個院子牆邊指____道這就是他家又叫道周大_媽有個老奶奶_子找你呢_____周瑞家的在内__忙迎_出來問是那位劉老老迎上 ||| Lão Lưu theo chân đứa trẻ, đi đến một bức tường phía sau, đứa trẻ chỉ tay nói: "Đó là nhà bà ấy." Rồi nó lại lớn tiếng gọi: "Bà Chu ơi, có một bà lão đến tìm bà!"
來笑問道好啊周嫂子周瑞家的部了半日方笑道劉老老你好你說麽道幾年不見我就忘了請家裏坐劉老老一面走一面笑說道你 ||| Vừa đến nơi, vợ Chu Thụy vội vã chạy ra, cất tiếng hỏi: "Ai đó?" Lão Lưu mừng rỡ tiến lại, cười nói: "Chị dạo này vẫn khỏe chứ?" Vợ Chu Thụy nhìn kỹ một hồi rồi đáp: "Ôi chao, là bà Lưu đó ư! Bà vẫn mạnh giỏi chứ? Đã mấy năm không gặp, tôi suýt quên mất. Mời bà vào nhà xơi nước." Lão Lưu vừa đi vừa cười đáp: "Bây giờ chị đã là người sang trọng, quên chúng tôi cũng phải thôi.", rồi theo vào nhà.
老是貴人多忘享了那裏還記得我們說着來至房中居瑞家的命僱的小了頭倒上茶來喫着居瑞家的又問道板兒長了道麽大了麽 ||| Ôi chao, bà sang đây rồi, hay quên cũng phải, còn nhớ gì đến chúng tôi nữa. Vừa nói xong, bà liền bước vào nhà. Vợ Chu Thụy sai con bé rót trà mời khách, rồi hỏi:
_______見更好若不能就借重嫂子轉致意罷了居瑞家的_聽了便已猜着_幾分來意只因他丈夫昔年爭賈田地一事多得狗兒他文親之力今 ||| Bà Chu nghe vậy đã đoán được phần nào ý tứ của bà Lưu. Chẳng là trước kia, chồng bà nhờ cậy thế lực của cha Cẩu Nhi mới mua được chút ruộng đất. Nay thấy bà Lưu đến, bà không tiện từ chối, lại muốn tỏ ra mình là người có địa vị, bèn cười nói:
們這裏不比五年前了如今太太_不__理事都是璉二奶奶_當家_你__打諒璉二奶奶是誰就是太太的内姪女兒大鼻老命的女孩兒小名兒 ||| Này bà chị, ở đây giờ khác xưa nhiều rồi, không còn như năm năm trước nữa đâu. Hiện giờ bà Hai không còn quản lý việc gì nữa, mọi việc lớn nhỏ đều do mợ Liễn quán xuyến cả. Bà thử nghĩ xem mợ Liễn là ai? Chính là cháu gái ruột của bà Hai, con gái của ông cậu, hồi nhỏ vẫn gọi là cô Phượng đấy.
老老說那裏話俗語說的_好與人方便自己方便不過用我一句话又費不着我什麽事說着便喚小了頭到倒廳兒上悄悄的打聽老太 ||| Lão lão chớ nói vậy, tục ngữ có câu: "Giúp người cũng là giúp mình", ta chỉ tốn chút lời nói chứ có mất mát gì đâu.
太屋裏擺了飯了沒有小了頭去了這_裏二人又說了些閒話劉老老因說道位鳳姑娘今年不過十八九歲罷了就這等有本事當這樣 ||| Trong nhà, mợ Phượng chỉ mới mười tám đôi mươi, mà đã có tài quán xuyến mọi việc, thật là hiếm có.
繪圖紅樓夢卷一第六回 ||| Bức họa Hồng Lâu Mộng, quyển một, hồi thứ sáu.
三一 ||| Ba mươi mốt
繪医紅樓夢卷一第六回 ||| Bản vẽ y khoa của Hồng Lâu Mộng, quyển một, hồi thứ sáu.
__三_____________________二____________________________________ ||| Hôm nay lão thân có ý đến thăm bà chị, sau nữa muốn đến hầu cả Vương phu nhân. Nếu có thể đưa lão thân đến được thì thật tốt, bằng không thì nhờ bà chị nói giúp cho.
家可是難得的周瑞家的聽了道我的老老告訴不得你了這鳳姑娘年紀兒雖小行事_兒比_別人都大呢如今出挑的美人兒是的少 ||| Nhà ta dạo này khác xưa nhiều rồi, không còn như năm năm trước nữa. Giờ đây, bà Hai đã buông hết mọi việc, giao cả cho mợ Liễn quán xuyến. Bà thử đoán xem mợ Liễn là ai nào?
說着只怕有一萬心眼子再要賭口齒十個會說_的男人也說_不過他呢回來你見了就知道了就只一件待下人未免太嚴些兒說着小 ||| Nghe nói, mợ ấy tuổi còn trẻ mà đã quán xuyến mọi việc trong nhà đâu ra đấy, thật là hiếm có. Bề ngoài thì yểu điệu thướt tha, tưởng như một cô nương xinh đẹp, nhưng thực chất lại là người có đến vạn con mắt, không việc gì mà không nhìn thấu. Còn về tài ăn nói thì mười người đàn ông miệng lưỡi cũng không bì kịp. Chốc nữa bà gặp sẽ rõ, chỉ có điều đối đãi với người dưới có phần hơi nghiêm khắc.
了頭回來說老太太屋裏擺完了飯了二奶奶在太太屋裏呢周瑞也是白跑狗兒道不妨我敎給你個法兒你竟帶了小板兒先去找陪 ||| Lại nói, khi ấy, cơm nước trong nhà cụ đã xong xuôi, mợ hai Phượng Thư đang ở nhà Vương phu nhân. Bà Chu nghe vậy, vội vàng đứng dậy giục già Lưu:
房周大爺要見了他就有些意思了這周大爺難說了再歇了中覺越發沒時候了說着一齊下了炕整頓衣服又敎了板兒幾句話跟着 ||| Bấy giờ, hai người cùng nhau xuống giường, chỉnh trang lại y phục. Già Lưu lại dặn dò Bản nhi vài câu, rồi cùng bà Chu đi đến nhà Giả Liễn.
周瑞家的逶施往賈璉的住宅來先至倒廳周瑞家的將劉老老安插住等着自己卻先過影壁走進了院門知鳳姐尚未出來先找着鳳 ||| Vợ Chu Thụy vội vã đến nhà Giả Liễn, trước hết đưa Lưu bà đến sảnh ngoài rồi bảo bà chờ, còn mình thì đi qua bình phong vào trong sân. Biết Phượng Thư chưa ra, bèn tìm đến Bình Nhi để hỏi han.
姐的一個心腹通房大了頭名喚平兒的周瑞家的先將劉老老起初來歷說明又說今日大遠的_來請安當日太太是常會的所以我帶 ||| Bà Chu, một người tâm phúc của chị dâu, có tên là Chu Thụy, trước hết đã kể rõ lai lịch của bà Lưu, rồi nói thêm rằng hôm nay bà ấy từ xa đến để vấn an, vì trước kia bà Hai thường gặp mặt, nên bà đã dẫn đến đây.
了他過來等着奶奶下來我細細兒的回明_了想來奶奶也不__至嗔着我莽撞的平__兒聽了便作了個主意叫他們進來先在道裏坐着就___________________ ||| Bà Chu liền tìm đến Bình Nhi, một a hoàn thân cận của Phượng Thư, kể rõ sự tình của bà lão rồi nói: "Bà lão này từ xa đến thăm bà Hai, vì trước kia bà Hai đã từng gặp mặt, nên tôi dẫn bà ấy đến đây. Chờ khi mợ xuống, tôi sẽ trình bày rõ ràng, chắc mợ sẽ không trách tôi đường đột."
是了周瑞家的纔出去領了他們進來上了正房__臺階小了頭打起猩紅鲜__簾纔入堂屋只聞一_陳香_撲了臉來竟不_知是何_氣味身_______子就 ||| Thế rồi bà Chu ra dẫn bà cháu già Lưu đến thềm giữa. Bọn a hoàn nhỏ vén rèm đỏ lên. Vừa bước vào nhà đã thấy mùi hương ngào ngạt.
像在雲端裏一般滿屋___裏的東西都是耀眼爭光_使人頭_暈目眩劉老老此時只有點頭城嘴念佛而巳於是走到東邊這間屋裏乃是賈 ||| Tựa hồ lạc giữa chốn mây ngàn, khắp gian phòng ánh lên vẻ rực rỡ, khiến người ta hoa mắt chóng mặt. Lão bà Lưu chỉ biết gật đầu niệm Phật, rồi bước sang gian nhà phía đông, nơi khuê phòng của tiểu thư Giả.
_姐兒了纔要稱姑奶奶_只見周瑞家的_說他是平姑娘又見平___兒趕着周瑞家的_啡他周大娘方知不過是個有__體面__的了頭於是讓劉老 ||| Khi ấy, các cô nương trong phủ đều đã gọi cô là cô nương, nay lại gọi là bà cô, chỉ thấy bà Chu nói đây là cô Bình, mới biết chỉ là một a hoàn có chút địa vị.
____老_和板_兒上了炕平_兒和周瑞家的對面坐在炕沿上小_了_頭們倒了茶來__喫了劉老老只聽見咯增咯噹的響聲很以打羅篩麵的一般 ||| Bà lão và thằng Bản ngồi lên bục, Bình Nhi sai a hoàn nhỏ pha trà mời. Bà lão nghe tiếng lách tách như tiếng thanh la, nhìn quanh thì thấy trên cột có treo một cái hộp, dưới hộp có một vật như quả cầu cứ đưa qua đưa lại.
不免東瞧西望的忽見堂屋中柱子上掛着一個匣子底下又墜着一個秤____鉈是的却不住的亂_晃劉老老心中想着這是什麽東西有煞 ||| Lão Lưu không khỏi ngó đông ngó tây, chợt thấy trên cột nhà chính treo một cái hộp, dưới lại rủ một vật tựa quả cân, cứ lắc lư không ngừng. Lão thầm nghĩ, đây là vật chi, dùng để làm gì?
__道_有人笑聲約有一二十個婦人衣裙窸器漸入堂屋往那邊屋內去了又見三兩個婦人都捧着大紅油漆盒進道邊來等候聽得那邊 ||| Chỉ thấy xa xa có tiếng cười, chừng vài chục người đàn bà, quần áo sột soạt, lên thềm đi vào nhà. Lại thấy hai ba người đàn bà cầm hộp sơn đỏ đứng đấy chờ.
____________________炕炕上大紅_條氈靠東邊板壁立者一個鎖子錦的靠背_和一個引枕鋪着金_線閃_的大坐褥_傍邊有__銀唾盒那鳳姐家常帶着紫貂明君 ||| Trên giường kê nệm đỏ thẫm, dựa vào vách phía đông là một chiếc gối tựa lưng bằng gấm thêu, bên cạnh là một chiếc gối ôm và một chiếc đệm ngồi thêu chỉ vàng, lại có một chiếc ống nhổ bằng bạc.
______________套圍着那攒珠勒子穿着桃红_灑花襖石靑刻絲灰鼠披風大红洋縐銀鼠皮裙粉光脂豔端端正正坐在那_裏手内拿着小銅火箸_兒撥_____ ||| Phượng Thư đầu đội mũ Chiêu Quân lông điêu tía, cài trâm ngọc trai, mình mặc áo đào thắm thêu hoa, khoác áo choàng xám chuột, váy lụa đỏ thắm, son phấn rạng ngời, đoan trang ngồi đó, tay cầm chiếc gắp đồng nhỏ khẽ gạt tro lò.
手_爐内的灰平兒站在炕沿邊棒普小小的一個塡漆茶盤盤内一個小蓋鍾兒鳳姐也不接茶也不擡頭只管撥那灰慢慢的道怎麽還 ||| Bình Nhi đứng hầu bên cạnh, bưng một khay trà nhỏ. Phượng Thư tay gạt tro lò sưởi, không buồn ngẩng đầu, thong thả cất lời: "Sao còn chưa mời người ta lên?"
不請進來一面說一面_擡身要茶時只見周瑞家的已帶了兩個人_立在面前了_這纔忙欲起身猶未起身滿面春国的問妤又唱者_周瑞 ||| Phượng Thư vẫn không cầm chén trà, cũng chẳng buồn ngẩng đầu, cứ thong thả gạt tro, miệng thản nhiên nói: "Sao còn chưa mời người ta lên?" Vừa ngẩng lên uống nước, nàng mới thấy bà Chu dẫn hai người đứng dưới thềm.
家的怎麽不早說劉老老_已在地下__拜了_幾拜問姑奶奶安鳳姐忙說周姐姐攙着不拜罷我年輕不大認得可也不知是什麽輩數兒不 ||| Sao không nói sớm, để bà lão đã lạy mấy lạy dưới đất rồi. Thôi, chị đỡ bà dậy đi, đừng để bà lạy nữa.
敢稱呼周瑞家的忙問道道就是我纔回的那個老老了鳳姐點頭劉老老已在炕沿上坐下了板兒便躲在他背後百般的哄他出來作 ||| Vừa lúc đó, Già Lưu đã ngồi vào mép bục, giục thằng Bản ra chào mợ Hai, nhưng nó cứ nấp sau lưng, dỗ dành thế nào cũng không chịu ra.
揖他死也不肯鳳姐_笑道親戚們不大走動都疎遠了知道的呢說你們棄嫌我們不肯常來不知道的那起小人還只當我們眼裏沒人 ||| Phượng Thư cười đáp: "Ôi chao, bà con thân thích ít qua lại, nên thành ra xa cách. Người ngoài nhìn vào thì trách chúng ta hờ hững, chẳng chịu lui tới. Kẻ không hiểu chuyện lại cho rằng chúng ta khinh người, chẳng coi ai ra gì."
________________________________是的劉老老_忙念佛道我們家道艱難走不起來_到這_裏沒的給姑奶奶打嘴就是管家爺們瞧着_也不像鳳姐_笑道追話没的叫人惡心 ||| Già Lưu vội niệm Phật, than rằng nhà mình khốn khó, đi lại chẳng tiện, đến đây sợ các quản gia không coi ra gì, chứ không dám trách mắng gì đến cô.
不過_托賴着祖父的虛名_作個窮官_兒罷咧誰家有什_麽不過也是個___空架子俗語兒說的好朝廷還有三門子窮親呢何況你我說着又 ||| Thực ra cũng chỉ nhờ chút hư danh của tổ phụ, làm một chức quan nhỏ mà thôi, có gì đáng kể đâu, chẳng qua cũng chỉ là cái vỏ rỗng. Người ta thường nói: "Đến vua còn có ba họ nghèo", huống chi là nhà ta.
問周瑞家的__回了太太了沒有周瑞家的道等奶奶的示下鳳姐兒道你去瞧瞧要是有人__就罷要得閒呢就回了看怎_麽說周瑞家的答____ ||| Phượng Thư hỏi bà Chu đã bẩm với bà lớn chưa, bà Chu thưa còn chờ lệnh. Phượng Thư liền bảo bà Chu đi xem, nếu có ai ở đó thì thôi, bằng không thì cứ bẩm xem bà lớn nói sao.
__應去了消裏鳳姐叫人抓了些菓子_給板__兒喫剛問_了幾句閒話時就有家下許多媳婦兒管事的來回話平兒回了鳳姐道我這裏陪客 ||| Phượng Thư sai người lấy chút quả bánh cho Bản nhi ăn, vừa hỏi han vài câu thì người nhà đã đến bẩm báo việc. Bình Nhi bèn thưa lại với Phượng Thư rằng: 'Thiếp đang bận tiếp khách.'
___呢晚上再來回要有緊事你就帶進來現辦平_兒出去_一會進來說我_問了沒什_麽要緊__的我叫他們散了鳳姐點頭只見周瑞家的回來 ||| Nàng dặn rằng, nếu có việc gì cần kíp thì cứ vào, bằng không thì để chiều hãy đến. Bình Nhi ra ngoài một lát rồi trở vào thưa, rằng đã hỏi, không ai có việc gì cần cả, nên đã cho lui về cả rồi.
________向鳳妲道太太說_今日不得閒兒二奶奶陪着_也是一樣多謝費心想着要是白來逛逛呢便罷有什麽說的只管告訴二奶奶劉老老道 ||| Phượng Thư bảo rằng: "Thưa bà, hôm nay con không rảnh, để mợ tiếp cũng vậy thôi. Xin đa tạ tấm lòng của bà đã đến thăm hỏi. Nếu bà chỉ đến chơi thì không sao, bằng có việc gì muốn nói, cứ nói với mợ cũng được."
__________________________也沒甚_的說不過_來瞧瞧姑太太姑奶奶也是親戚們的情分周瑞家的道沒_有什麽說的便罷_要有話只管回二奶奶_和太太是一樣_____________兒 ||| Thưa mợ, không có việc gì, tôi chỉ đến thăm bà cô và cô thôi, vì tình bà con họ hàng với nhau.
的一面說一面遞了個眼色兒劉老老會意未語先_红_了臉_待要不說今日_所爲何來只得勉強說道論今日初次見原不該說的只是大 ||| Vừa nói, bà Chu vừa liếc mắt ra hiệu cho già Lưu. Lão Lưu hiểu ý, mặt liền đỏ bừng, định bụng không nói nữa. Nhưng nghĩ đến mục đích chuyến đi hôm nay, đành phải ngập ngừng thưa rằng: "Thực tình, hôm nay mới là lần đầu gặp mặt, vốn không nên mở lời. Nhưng vì đường sá xa xôi, nếu không nói ra thì lại không phải lẽ."
______________________遺的奔了你老這_裏來_少不_得說了剛說到這_裏只_聽二門上小廝們回說東府__裏小大爺進來了鳳姐忙_和劉老老擺手道不必說了一___________ ||| Vừa nói đến đây thì có bọn a hoàn vào trình, có cậu cả Dung ở bên phủ Đông sang chơi. Phượng Thư vội gạt tay nói, bà không cần phải nói nữa.
面便問你蓉大爺在那裏呢只_聽一路靴子_響進來了一個十七八歲的少年面目清秀身___段苗條美服華冠輕裘寶帶___劉老老此時坐不 ||| Vừa lúc ấy, có tiếng bước chân lộc cộc, một thiếu niên tuấn tú độ mười bảy mười tám tuổi, dáng dấp thanh nhã, y phục chỉnh tề, áo cừu nhẹ, đai ngọc, bước vào.
三三 ||| Chẳng có gì.
